date,season,neutral,playoff,team1,team2,elo1,elo2,elo_prob1,score1,score2,result1
2019-09-05,2019,0,0,CHI,GB,1588.89793144843,1455.13136993533,0.7584485193045968,3,10,0
2019-09-08,2019,0,0,CAR,LAR,1519.37877240763,1598.01566621671,0.4803850039945628,27,30,0
2019-09-08,2019,0,0,NYJ,BUF,1384.96644235941,1448.42368150679,0.5022201967461954,16,17,0
2019-09-08,2019,0,0,CLE,TEN,1455.88640137805,1518.90720352913,0.5028482638546541,13,43,0
2019-09-08,2019,0,0,MIA,BAL,1415.17876187059,1570.53924891259,0.37281557491111966,10,59,0
2019-09-08,2019,0,0,MIN,ATL,1538.42395425995,1520.31582461035,0.6173720777976055,28,12,1
2019-09-08,2019,0,0,JAX,KC,1455.24907275187,1602.07742712331,0.38436967604805045,26,40,0
2019-09-08,2019,0,0,PHI,WSH,1581.51355925233,1441.02179176339,0.7654698543324963,32,27,1
2019-09-08,2019,0,0,LAC,IND,1585.75191800581,1561.07456529967,0.6262644674526644,30,24,1
2019-09-08,2019,0,0,SEA,CIN,1565.41164859357,1428.5335151433,0.7617148036094071,21,20,1
2019-09-08,2019,0,0,ARI,DET,1383.74042223536,1490.51940926969,0.44016333887878134,27,27,0.5
2019-09-08,2019,0,0,DAL,NYG,1546.63760540507,1442.7255357616,0.7255848739644275,35,17,1
2019-09-08,2019,0,0,TB,SF,1444.77266859125,1422.63182461207,0.622840671248458,17,31,0
2019-09-08,2019,0,0,NE,PIT,1640.85648810958,1572.19321967273,0.6833970641922035,33,3,1
2019-09-09,2019,0,0,NO,HOU,1610.93660317005,1515.38853097227,0.7158948727512396,30,28,1
2019-09-09,2019,0,0,OAK,DEN,1405.44061778861,1449.16419458668,0.5305810160650128,24,16,1
2019-09-12,2019,0,0,CAR,TB,1506.14172298054,1409.64771139295,0.7170010787278287,14,20,0
2019-09-15,2019,0,0,NYG,BUF,1427.71782881766,1455.39081751318,0.5535121585662888,14,28,0
2019-09-15,2019,0,0,HOU,JAX,1509.57066983197,1435.17777134696,0.6904897727363537,13,12,1
2019-09-15,2019,0,0,WSH,DAL,1433.33531739672,1561.64531234901,0.4098848002257198,21,31,0
2019-09-15,2019,0,0,TEN,IND,1553.47379093182,1547.09912301326,0.6012954191334732,17,19,0
2019-09-15,2019,0,0,CIN,SF,1425.50782652535,1457.75678181037,0.5469934314024829,17,41,0
2019-09-15,2019,0,0,PIT,SEA,1551.69443581324,1568.43733721152,0.569004376445462,26,28,0
2019-09-15,2019,0,0,BAL,ARI,1598.55771020712,1385.56534920517,0.8320536957330441,23,17,1
2019-09-15,2019,0,0,MIA,NE,1387.16030057606,1661.35527196907,0.23072481027334826,0,43,0
2019-09-15,2019,0,0,GB,MIN,1489.80727052204,1559.31605609263,0.49351170020322305,21,16,1
2019-09-15,2019,0,0,DET,LAC,1488.69448229988,1599.72736029222,0.43413830208607945,13,10,1
2019-09-15,2019,0,0,OAK,KC,1425.87140811396,1622.14872852822,0.3195820914825713,10,28,0
